Time	 Point1PX	 Point1PY	 Point1PZ	 Point1FX	 Point1FY	 Point1FZ	 Rod1NAPX	 Rod1NAPY	 Rod1NAPZ	 Rod1NBPX	 Rod1NBPY	 Rod1NBPZ	 
(s)	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 
0.96	 0	 0	 -0.0336738	 0	 0	 -5423.64	 -1	 0	 -1	 1	 0	 -1	 
0.97	 0	 0	 -1.93192	 0	 0	 4995.24	 -1	 0	 -1	 1	 0	 -1	 
0.98	 0	 0	 -0.113712	 0	 0	 -4451.86	 -1	 0	 -1	 1	 0	 -1	 
0.99	 0	 0	 -1.8312	 0	 0	 3829.33	 -1	 0	 -1	 1	 0	 -1	 
1	 0	 0	 -0.232556	 0	 0	 -3162.79	 -1	 0	 -1	 1	 0	 -1	 
1.01	 0	 0	 -1.697	 0	 0	 2493.34	 -1	 0	 -1	 1	 0	 -1	 
1.02	 0	 0	 -0.379158	 0	 0	 -1859.06	 -1	 0	 -1	 1	 0	 -1	 
1.03	 0	 0	 -1.54079	 0	 0	 1293.67	 -1	 0	 -1	 1	 0	 -1	 
1.04	 0	 0	 -0.54231	 0	 0	 -824.569	 -1	 0	 -1	 1	 0	 -1	 
1.05	 0	 0	 -1.37291	 0	 0	 465.02	 -1	 0	 -1	 1	 0	 -1	 
1.06	 0	 0	 -0.713055	 0	 0	 -220.193	 -1	 0	 -1	 1	 0	 -1	 
1.07	 0	 0	 -1.2006	 0	 0	 76.3758	 -1	 0	 -1	 1	 0	 -1	 
1.08	 0	 0	 -0.88605	 0	 0	 -14.6474	 -1	 0	 -1	 1	 0	 -1	 
1.09	 0	 0	 -1.02737	 0	 0	 -0.313524	 -1	 0	 -1	 1	 0	 -1	 
1.1	 0	 0	 -1.05932	 0	 0	 1.73232	 -1	 0	 -1	 1	 0	 -1	 
1.11	 0	 0	 -0.854103	 0	 0	 -31.8803	 -1	 0	 -1	 1	 0	 -1	 
1.12	 0	 0	 -1.2325	 0	 0	 122.311	 -1	 0	 -1	 1	 0	 -1	 
1.13	 0	 0	 -0.681291	 0	 0	 -305.002	 -1	 0	 -1	 1	 0	 -1	 
1.14	 0	 0	 -1.40437	 0	 0	 594.525	 -1	 0	 -1	 1	 0	 -1	 
1.15	 0	 0	 -0.511431	 0	 0	 -999.243	 -1	 0	 -1	 1	 0	 -1	 
1.16	 0	 0	 -1.57075	 0	 0	 1509.01	 -1	 0	 -1	 1	 0	 -1	 
1.17	 0	 0	 -0.350564	 0	 0	 -2105.62	 -1	 0	 -1	 1	 0	 -1	 
1.18	 0	 0	 -1.72374	 0	 0	 2758.46	 -1	 0	 -1	 1	 0	 -1	 
1.19	 0	 0	 -0.208207	 0	 0	 -3431.21	 -1	 0	 -1	 1	 0	 -1	 
1.2	 0	 0	 -1.85262	 0	 0	 4085.36	 -1	 0	 -1	 1	 0	 -1	 
1.21	 0	 0	 -0.0957375	 0	 0	 -4679.94	 -1	 0	 -1	 1	 0	 -1	 
1.22	 0	 0	 -1.946	 0	 0	 5181.79	 -1	 0	 -1	 1	 0	 -1	 
1.23	 0	 0	 -0.0238808	 0	 0	 -5557.32	 -1	 0	 -1	 1	 0	 -1	 
1.24	 0	 0	 -1.99444	 0	 0	 5788	 -1	 0	 -1	 1	 0	 -1	 
1.25	 0	 0	 -0.000194566	 0	 0	 -5855.67	 -1	 0	 -1	 1	 0	 -1	 
1.26	 0	 0	 -1.99272	 0	 0	 5760.87	 -1	 0	 -1	 1	 0	 -1	 
1.27	 0	 0	 -0.0272795	 0	 0	 -5504.7	 -1	 0	 -1	 1	 0	 -1	 
1.28	 0	 0	 -1.94102	 0	 0	 5106.79	 -1	 0	 -1	 1	 0	 -1	 
1.29	 0	 0	 -0.102166	 0	 0	 -4587.12	 -1	 0	 -1	 1	 0	 -1	 
1.3	 0	 0	 -1.84491	 0	 0	 3980.25	 -1	 0	 -1	 1	 0	 -1	 
1.31	 0	 0	 -0.217014	 0	 0	 -3320.2	 -1	 0	 -1	 1	 0	 -1	 
1.32	 0	 0	 -1.71403	 0	 0	 2648.06	 -1	 0	 -1	 1	 0	 -1	 
1.33	 0	 0	 -0.360971	 0	 0	 -2002.23	 -1	 0	 -1	 1	 0	 -1	 
1.34	 0	 0	 -1.55982	 0	 0	 1418.01	 -1	 0	 -1	 1	 0	 -1	 
1.35	 0	 0	 -0.522711	 0	 0	 -924.753	 -1	 0	 -1	 1	 0	 -1	 
1.36	 0	 0	 -1.39286	 0	 0	 538.648	 -1	 0	 -1	 1	 0	 -1	 
1.37	 0	 0	 -0.692916	 0	 0	 -267.799	 -1	 0	 -1	 1	 0	 -1	 
1.38	 0	 0	 -1.22082	 0	 0	 101.606	 -1	 0	 -1	 1	 0	 -1	 
1.39	 0	 0	 -0.865802	 0	 0	 -23.6512	 -1	 0	 -1	 1	 0	 -1	 
1.4	 0	 0	 -1.04762	 0	 0	 0.501153	 -1	 0	 -1	 1	 0	 -1	 
1.41	 0	 0	 -1.03907	 0	 0	 0.167121	 -1	 0	 -1	 1	 0	 -1	 
1.42	 0	 0	 -0.874352	 0	 0	 -20.7097	 -1	 0	 -1	 1	 0	 -1	 
1.43	 0	 0	 -1.21228	 0	 0	 93.7367	 -1	 0	 -1	 1	 0	 -1	 
1.44	 0	 0	 -0.701417	 0	 0	 -253.255	 -1	 0	 -1	 1	 0	 -1	 
1.45	 0	 0	 -1.38444	 0	 0	 516.428	 -1	 0	 -1	 1	 0	 -1	 
1.46	 0	 0	 -0.530976	 0	 0	 -894.775	 -1	 0	 -1	 1	 0	 -1	 
1.47	 0	 0	 -1.5518	 0	 0	 1381.05	 -1	 0	 -1	 1	 0	 -1	 
1.48	 0	 0	 -0.368625	 0	 0	 -1959.9	 -1	 0	 -1	 1	 0	 -1	 
1.49	 0	 0	 -1.70687	 0	 0	 2602.54	 -1	 0	 -1	 1	 0	 -1	 
1.5	 0	 0	 -0.223533	 0	 0	 -3274.11	 -1	 0	 -1	 1	 0	 -1	 
1.51	 0	 0	 -1.83917	 0	 0	 3936.28	 -1	 0	 -1	 1	 0	 -1	 
1.52	 0	 0	 -0.106979	 0	 0	 -4547.95	 -1	 0	 -1	 1	 0	 -1	 
1.53	 0	 0	 -1.93725	 0	 0	 5074.75	 -1	 0	 -1	 1	 0	 -1	 
1.54	 0	 0	 -0.0299022	 0	 0	 -5481.74	 -1	 0	 -1	 1	 0	 -1	 
1.55	 0	 0	 -1.99131	 0	 0	 5748.35	 -1	 0	 -1	 1	 0	 -1	 
1.56	 0	 0	 -0.000342079	 0	 0	 -5854.35	 -1	 0	 -1	 1	 0	 -1	 
1.57	 0	 0	 -1.99556	 0	 0	 5797.96	 -1	 0	 -1	 1	 0	 -1	 
1.58	 0	 0	 -0.0215357	 0	 0	 -5577.97	 -1	 0	 -1	 1	 0	 -1	 
1.59	 0	 0	 -1.94951	 0	 0	 5211.9	 -1	 0	 -1	 1	 0	 -1	 
1.6	 0	 0	 -0.0911538	 0	 0	 -4717.7	 -1	 0	 -1	 1	 0	 -1	 
1.61	 0	 0	 -1.85816	 0	 0	 4128.51	 -1	 0	 -1	 1	 0	 -1	 
1.62	 0	 0	 -0.20185	 0	 0	 -3477.14	 -1	 0	 -1	 1	 0	 -1	 
1.63	 0	 0	 -1.73077	 0	 0	 2804.46	 -1	 0	 -1	 1	 0	 -1	 
1.64	 0	 0	 -0.343	 0	 0	 -2149.02	 -1	 0	 -1	 1	 0	 -1	 
1.65	 0	 0	 -1.57871	 0	 0	 1547.5	 -1	 0	 -1	 1	 0	 -1	 
1.66	 0	 0	 -0.503196	 0	 0	 -1031.05	 -1	 0	 -1	 1	 0	 -1	 
1.67	 0	 0	 -1.41278	 0	 0	 618.67	 -1	 0	 -1	 1	 0	 -1	 
1.68	 0	 0	 -0.672782	 0	 0	 -321.344	 -1	 0	 -1	 1	 0	 -1	 
1.69	 0	 0	 -1.24106	 0	 0	 131.649	 -1	 0	 -1	 1	 0	 -1	 
1.7	 0	 0	 -0.845529	 0	 0	 -35.7997	 -1	 0	 -1	 1	 0	 -1	 
