      Time        POINT1PX        POINT1PY        POINT1PZ        POINT1FX        POINT1FY        POINT1FZ        ROD1NAPX        ROD1NAPY        ROD1NAPZ        ROD1NBPX        ROD1NBPY        ROD1NBPZ
       (s)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)
    2.9200   0.0000000E+00   0.0000000E+00  -1.0020002E+00   0.0000000E+00   0.0000000E+00   4.6333782E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    2.9300   0.0000000E+00   0.0000000E+00  -1.0025171E+00   0.0000000E+00   0.0000000E+00   1.2517422E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    2.9400   0.0000000E+00   0.0000000E+00  -1.0012143E+00   0.0000000E+00   0.0000000E+00  -1.6871347E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    2.9500   0.0000000E+00   0.0000000E+00  -9.9997729E-01   0.0000000E+00   0.0000000E+00  -3.4424160E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    2.9600   0.0000000E+00   0.0000000E+00  -9.9935836E-01   0.0000000E+00   0.0000000E+00  -3.6864201E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    2.9700   0.0000000E+00   0.0000000E+00  -9.9940372E-01   0.0000000E+00   0.0000000E+00  -3.6282455E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    2.9800   0.0000000E+00   0.0000000E+00  -1.0001060E+00   0.0000000E+00   0.0000000E+00  -3.3924519E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    2.9900   0.0000000E+00   0.0000000E+00  -1.0014030E+00   0.0000000E+00   0.0000000E+00  -6.0038147E+00  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0000   0.0000000E+00   0.0000000E+00  -1.0025628E+00   0.0000000E+00   0.0000000E+00   1.3414987E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0100   0.0000000E+00   0.0000000E+00  -1.0018243E+00   0.0000000E+00   0.0000000E+00   2.5973551E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0200   0.0000000E+00   0.0000000E+00  -1.0004311E+00   0.0000000E+00   0.0000000E+00  -3.3746349E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0300   0.0000000E+00   0.0000000E+00  -9.9957919E-01   0.0000000E+00   0.0000000E+00  -3.5019283E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0400   0.0000000E+00   0.0000000E+00  -9.9936819E-01   0.0000000E+00   0.0000000E+00  -3.6718395E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.0500   0.0000000E+00   0.0000000E+00  -9.9981552E-01   0.0000000E+00   0.0000000E+00  -3.4112976E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
