Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Seg1Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	
0.00741	 7.9191e-21	 0	 -18.7732	 8.86855e-21	 0	 -19.2758	 1.26727e+06	 
0.00751	 7.90325e-21	 0	 -18.7905	 8.83861e-21	 0	 -19.2941	 1.8653e+06	 
0.00761	 7.90584e-21	 0	 -18.8077	 8.80664e-21	 0	 -19.3113	 1.86825e+06	 
0.00771	 7.92858e-21	 0	 -18.8249	 8.77256e-21	 0	 -19.3274	 1.30565e+06	 
0.00781	 7.97144e-21	 0	 -18.8421	 8.7369e-21	 0	 -19.3428	 391465	 
0.00791	 8.03284e-21	 0	 -18.8591	 8.70053e-21	 0	 -19.3579	 0	 
0.00801	 8.11046e-21	 0	 -18.876	 8.66386e-21	 0	 -19.3731	 0	 
0.00811	 8.20123e-21	 0	 -18.8928	 8.6269e-21	 0	 -19.3884	 0	 
0.00821	 8.30122e-21	 0	 -18.9095	 8.58969e-21	 0	 -19.4036	 0	 
0.00831	 8.40589e-21	 0	 -18.926	 8.55115e-21	 0	 -19.419	 0	 
0.00841	 8.51041e-21	 0	 -18.9425	 8.50671e-21	 0	 -19.4348	 0	 
0.00851	 8.60991e-21	 0	 -18.9588	 8.45322e-21	 0	 -19.4512	 0	 
0.00861	 8.69969e-21	 0	 -18.9751	 8.39092e-21	 0	 -19.4681	 0	 
0.00871	 8.77552e-21	 0	 -18.9912	 8.32326e-21	 0	 -19.4854	 0	 
0.00881	 8.83393e-21	 0	 -19.0074	 8.25473e-21	 0	 -19.5027	 0	 
0.00891	 8.87253e-21	 0	 -19.0235	 8.18645e-21	 0	 -19.52	 0	 
0.00901	 8.89009e-21	 0	 -19.0396	 8.11841e-21	 0	 -19.5373	 0	 
0.00911	 8.88653e-21	 0	 -19.0556	 8.05062e-21	 0	 -19.5545	 0	 
0.00921	 8.863e-21	 0	 -19.0716	 7.98308e-21	 0	 -19.5717	 17510.1	 
0.00931	 8.82178e-21	 0	 -19.0876	 7.91593e-21	 0	 -19.5888	 612113	 
0.00941	 8.7663e-21	 0	 -19.1035	 7.84968e-21	 0	 -19.6055	 1.01242e+06	 
0.00951	 8.70068e-21	 0	 -19.1194	 7.78466e-21	 0	 -19.6215	 1.09518e+06	 
0.00961	 8.6294e-21	 0	 -19.1353	 7.72081e-21	 0	 -19.6369	 848969	 
0.00971	 8.55707e-21	 0	 -19.1512	 7.65773e-21	 0	 -19.6518	 371588	 
0.00981	 8.48819e-21	 0	 -19.1669	 7.59486e-21	 0	 -19.6665	 0	 
0.00991	 8.42703e-21	 0	 -19.1826	 7.53183e-21	 0	 -19.6813	 0	 
0.01001	 8.37746e-21	 0	 -19.1982	 7.46865e-21	 0	 -19.696	 0	 
0.01011	 8.34264e-21	 0	 -19.2137	 7.40533e-21	 0	 -19.7108	 0	 
0.01021	 8.32482e-21	 0	 -19.2291	 7.34189e-21	 0	 -19.7256	 0	 
0.01031	 8.32522e-21	 0	 -19.2445	 7.27835e-21	 0	 -19.7404	 0	 
0.01041	 8.34402e-21	 0	 -19.2599	 7.21471e-21	 0	 -19.7552	 0	 
0.01051	 8.38034e-21	 0	 -19.2751	 7.15099e-21	 0	 -19.77	 0	 
0.01061	 8.43232e-21	 0	 -19.2904	 7.0872e-21	 0	 -19.7848	 0	 
0.01071	 8.49722e-21	 0	 -19.3055	 7.02335e-21	 0	 -19.7997	 0	 
0.01081	 8.57164e-21	 0	 -19.3206	 6.95919e-21	 0	 -19.8146	 0	 
0.01091	 8.6517e-21	 0	 -19.3357	 6.89398e-21	 0	 -19.8295	 0	 
0.01101	 8.73319e-21	 0	 -19.3507	 6.82735e-21	 0	 -19.8446	 0	 
0.01111	 8.81178e-21	 0	 -19.3657	 6.75959e-21	 0	 -19.8598	 0	 
0.01121	 8.88322e-21	 0	 -19.3806	 6.69145e-21	 0	 -19.875	 0	 
0.01131	 8.94345e-21	 0	 -19.3955	 6.62337e-21	 0	 -19.8902	 0	 
0.01141	 8.98873e-21	 0	 -19.4104	 6.55535e-21	 0	 -19.9054	 0	 
0.01151	 9.01553e-21	 0	 -19.4252	 6.4874e-21	 0	 -19.9206	 0	 
0.01161	 9.02041e-21	 0	 -19.44	 6.41954e-21	 0	 -19.9358	 0	 
0.01171	 8.99968e-21	 0	 -19.4547	 6.35176e-21	 0	 -19.9509	 0	 
0.01181	 8.94896e-21	 0	 -19.4694	 6.28408e-21	 0	 -19.9661	 0	 
0.01191	 8.86242e-21	 0	 -19.4841	 6.21649e-21	 0	 -19.9812	 0	 
0.01201	 8.73176e-21	 0	 -19.4987	 6.14901e-21	 0	 -19.9964	 0	 
0.01211	 8.54483e-21	 0	 -19.5132	 6.08163e-21	 0	 -20.0115	 0	 
0.01221	 8.28369e-21	 0	 -19.5278	 6.01435e-21	 0	 -20.0266	 0	 
0.01231	 7.92209e-21	 0	 -19.5422	 5.94718e-21	 0	 -20.0417	 0	 
