Time	 AnchTen1	 FairTen1	 
(s)	 (N)       	 (N)       	 
0.0378	 7.37425e+07	 7.34772e+07	 
0.0379	 7.38575e+07	 7.35921e+07	 
0.038	 7.39696e+07	 7.37041e+07	 
0.0381	 7.40789e+07	 7.38133e+07	 
0.0382	 7.41853e+07	 7.39196e+07	 
0.0383	 7.4289e+07	 7.40231e+07	 
0.0384	 7.43899e+07	 7.41238e+07	 
0.0385	 7.44879e+07	 7.42217e+07	 
0.0386	 7.45832e+07	 7.43168e+07	 
0.0387	 7.46757e+07	 7.44092e+07	 
0.0388	 7.47655e+07	 7.44987e+07	 
0.0389	 7.48525e+07	 7.45856e+07	 
0.039	 7.49368e+07	 7.46696e+07	 
0.0391	 7.50183e+07	 7.4751e+07	 
0.0392	 7.50972e+07	 7.48296e+07	 
0.0393	 7.51733e+07	 7.49056e+07	 
0.0394	 7.52467e+07	 7.49788e+07	 
0.0395	 7.53175e+07	 7.50493e+07	 
0.0396	 7.53855e+07	 7.51172e+07	 
0.0397	 7.54509e+07	 7.51824e+07	 
0.0398	 7.55135e+07	 7.52449e+07	 
0.0399	 7.55736e+07	 7.53048e+07	 
0.04	 7.56309e+07	 7.5362e+07	 
0.0401	 7.56856e+07	 7.54166e+07	 
0.0402	 7.57377e+07	 7.54686e+07	 
0.0403	 7.57871e+07	 7.55179e+07	 
0.0404	 7.58339e+07	 7.55646e+07	 
0.0405	 7.58781e+07	 7.56086e+07	 
0.0406	 7.59196e+07	 7.56501e+07	 
0.0407	 7.59585e+07	 7.5689e+07	 
0.0408	 7.59948e+07	 7.57252e+07	 
0.0409	 7.60285e+07	 7.57588e+07	 
0.041	 7.60596e+07	 7.57899e+07	 
0.0411	 7.60881e+07	 7.58183e+07	 
0.0412	 7.6114e+07	 7.58442e+07	 
0.0413	 7.61373e+07	 7.58674e+07	 
0.0414	 7.6158e+07	 7.58881e+07	 
0.0415	 7.61761e+07	 7.59062e+07	 
0.0416	 7.61916e+07	 7.59217e+07	 
0.0417	 7.62046e+07	 7.59346e+07	 
0.0418	 7.62149e+07	 7.59449e+07	 
0.0419	 7.62227e+07	 7.59526e+07	 
0.042	 7.62279e+07	 7.59577e+07	 
0.0421	 7.62305e+07	 7.59602e+07	 
0.04221	 7.62304e+07	 7.596e+07	 
0.04231	 7.62276e+07	 7.59571e+07	 
0.04241	 7.62222e+07	 7.59516e+07	 
0.04251	 7.62142e+07	 7.59434e+07	 
0.04261	 7.62036e+07	 7.59326e+07	 
0.04271	 7.61904e+07	 7.59193e+07	 
0.04281	 7.61747e+07	 7.59032e+07	 
0.04291	 7.61563e+07	 7.58846e+07	 
